price	sqft	age	feats	ne	cust	cor
2050	2650	13	7	1	1	0
2080	2600	.	4	1	1	0
2150	2664	6	5	1	1	0
2150	2921	3	6	1	1	0
1999	2580	4	4	1	1	0
1900	2580	4	4	1	0	0
1800	2774	2	4	1	0	0
1560	1920	1	5	1	1	0
1450	2150	.	4	1	0	0
1449	1710	1	3	1	1	0
1375	1837	4	5	1	0	0
1270	1880	8	6	1	0	0
1250	2150	15	3	1	0	0
1235	1894	14	5	1	1	0
1170	1928	18	8	1	1	0
1180	1830	.	3	1	0	0
1155	1767	16	4	1	0	0
1110	1630	15	3	1	0	1
1139	1680	17	4	1	0	1
995	1725	.	3	1	0	0
995	1500	15	4	1	0	0
975	1430	.	3	1	0	0
975	1360	.	4	1	0	0
900	1400	16	2	1	0	1
960	1573	17	6	1	0	0
860	1385	.	2	1	0	0
1695	2931	28	3	1	0	1
1553	2200	28	4	1	0	0
1250	2277	.	4	1	1	0
1300	2000	.	3	1	1	0
1020	1478	53	3	1	0	1
1020	1713	30	4	1	0	1
922	1326	.	4	1	0	0
925	1050	.	2	1	0	1
899	1464	.	2	1	1	0
850	1190	41	1	1	0	0
876	1156	.	1	1	0	0
890	1746	.	2	1	0	0
870	1280	.	1	1	0	0
700	1215	.	3	1	0	0
720	1121	46	4	1	0	0
720	1050	.	1	1	0	0
749	1733	43	6	1	0	0
731	1299	.	6	1	0	0
725	1140	.	3	1	0	1
670	1181	.	4	1	0	0
2150	2848	4	6	1	1	0
1599	2440	.	5	1	1	0
1350	2253	23	4	1	1	0
1299	2743	25	5	1	1	1
1250	2180	17	4	1	0	1
1239	1706	14	4	1	0	0
1200	1948	.	4	1	0	0
1125	1710	16	4	1	1	0
1100	1657	.	4	1	0	0
1080	2200	26	4	1	0	0
1050	1680	13	4	1	0	0
1049	1900	34	3	1	0	0
955	1565	.	3	1	1	0
934	1543	20	3	1	0	0
875	1173	6	4	1	0	0
889	1549	.	4	1	0	0
855	1900	.	3	1	0	0
835	1560	.	5	1	0	1
810	1365	.	2	1	0	0
805	1258	7	4	1	0	1
799	1314	.	2	1	0	0
750	1338	.	3	1	0	1
759	997	4	4	1	0	0
755	1275	.	5	1	0	0
750	1030	.	1	1	0	0
730	1027	.	3	1	0	0
729	1007	19	6	1	0	0
710	1083	22	4	1	0	0
773	1320	.	5	1	0	0
690	1348	15	2	1	1	0
670	1350	.	2	1	0	0
619	837	.	2	1	0	0
1295	3750	.	4	0	1	1
975	1500	7	3	0	1	1
939	1428	40	2	0	0	0
820	1375	.	1	0	0	0
780	1080	.	3	0	1	0
770	900	.	3	0	0	0
700	1505	.	2	0	0	1
620	1480	.	4	0	0	0
540	1142	.	0	0	0	0
1070	1464	.	2	0	0	0
2100	2116	25	3	0	1	0
725	1280	.	3	0	0	0
660	1159	.	0	0	0	0
600	1198	.	4	0	0	0
580	1051	15	2	0	0	0
1844	2250	40	6	0	1	0
1580	2563	.	2	0	1	0
699	1400	45	1	0	1	1
1330	1850	5	5	0	1	1
1160	1720	5	4	0	0	0
1109	1740	4	3	0	0	0
1129	1700	6	4	0	0	0
1050	1620	6	4	0	0	0
1045	1630	6	4	0	0	0
1050	1920	8	4	0	0	0
1020	1606	5	4	0	0	0
1000	1535	7	5	0	0	1
1030	1540	6	2	0	0	1
975	1739	13	3	0	0	0
950	1715	.	3	0	0	0
940	1305	5	3	0	0	0
920	1415	7	4	0	0	0
945	1580	9	3	0	0	0
874	1236	3	4	0	0	0
872	1229	6	3	0	0	0
870	1273	4	4	0	0	0
869	1165	7	4	0	0	0
766	1200	7	4	0	0	1
739	970	4	4	0	0	1
